#include        | PREPROCESSOR    | Len: 8   | Line: 1 | Pos: 0
<<              | OPERATOR        | Len: 2   | Line: 27 | Pos: 495
endl            | IDENTIFIER      | Len: 4   | Line: 27 | Pos: 498
;               | SEPARATOR       | Len: 1   | Line: 27 | Pos: 502
}               | SEPARATOR       | Len: 1   | Line: 28 | Pos: 508
}               | SEPARATOR       | Len: 1   | Line: 29 | Pos: 510
;               | SEPARATOR       | Len: 1   | Line: 29 | Pos: 511
int             | KEYWORD         | Len: 3   | Line: 31 | Pos: 514
main            | KEYWORD         | Len: 4   | Line: 31 | Pos: 518
(               | SEPARATOR       | Len: 1   | Line: 31 | Pos: 522
)               | SEPARATOR       | Len: 1   | Line: 31 | Pos: 523
{               | SEPARATOR       | Len: 1   | Line: 31 | Pos: 525
Circle          | IDENTIFIER      | Len: 6   | Line: 32 | Pos: 531
c1              | IDENTIFIER      | Len: 2   | Line: 32 | Pos: 538
(               | SEPARATOR       | Len: 1   | Line: 32 | Pos: 540
5.0             | NUMBER          | Len: 3   | Line: 32 | Pos: 541
)               | SEPARATOR       | Len: 1   | Line: 32 | Pos: 544
;               | SEPARATOR       | Len: 1   | Line: 32 | Pos: 545
c1              | IDENTIFIER      | Len: 2   | Line: 33 | Pos: 551
.               | OPERATOR        | Len: 1   | Line: 33 | Pos: 553
computeArea     | IDENTIFIER      | Len: 11  | Line: 33 | Pos: 554
(               | SEPARATOR       | Len: 1   | Line: 33 | Pos: 565
)               | SEPARATOR       | Len: 1   | Line: 33 | Pos: 566
;               | SEPARATOR       | Len: 1   | Line: 33 | Pos: 567
c1              | IDENTIFIER      | Len: 2   | Line: 34 | Pos: 573
.               | OPERATOR        | Len: 1   | Line: 34 | Pos: 575
display         | IDENTIFIER      | Len: 7   | Line: 34 | Pos: 576
(               | SEPARATOR       | Len: 1   | Line: 34 | Pos: 583
)               | SEPARATOR       | Len: 1   | Line: 34 | Pos: 584
;               | SEPARATOR       | Len: 1   | Line: 34 | Pos: 585
// Testăm operatorii logici și matematici | COMMENT         | Len: 41  | Line: 36 | Pos: 592
int             | KEYWORD         | Len: 3   | Line: 37 | Pos: 638
a               | IDENTIFIER      | Len: 1   | Line: 37 | Pos: 642
=               | OPERATOR        | Len: 1   | Line: 37 | Pos: 644
10              | NUMBER          | Len: 2   | Line: 37 | Pos: 646
